flight_key,airline_id,airport_code_depart_id,airport_code_arrival_id,flight_duration,number_seats_total,number_of_stops,connection_flight,flight_number,datetime_scraped,number_seats_available,ticket_price,datetime_depart,datetime_arrival,id,name,code,full_name
"1001ANR2023-04-16 08:30:00AGP2023-04-16 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:16",10,149.99,"2023-04-16 08:30:00","2023-04-16 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-16 08:30:00AGP2023-04-16 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:27",10,149.99,"2023-04-16 08:30:00","2023-04-16 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-16 08:30:00AGP2023-04-16 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:37",10,149.99,"2023-04-16 08:30:00","2023-04-16 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-16 08:30:00AGP2023-04-16 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:49",10,149.99,"2023-04-16 08:30:00","2023-04-16 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-16 08:30:00AGP2023-04-16 11:35:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:42:01",10,149.99,"2023-04-16 08:30:00","2023-04-16 11:35:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-17 15:20:00AGP2023-04-17 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:05",10,179.99,"2023-04-17 15:20:00","2023-04-17 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-17 15:20:00AGP2023-04-17 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:16",10,179.99,"2023-04-17 15:20:00","2023-04-17 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-17 15:20:00AGP2023-04-17 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:27",10,179.99,"2023-04-17 15:20:00","2023-04-17 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-17 15:20:00AGP2023-04-17 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:37",10,179.99,"2023-04-17 15:20:00","2023-04-17 18:25:00",3,TuiFly,AGP,Malaga
"1001ANR2023-04-17 15:20:00AGP2023-04-17 18:25:00",3,ANR,AGP,03:05:00,NULL,NULL,NULL,1001,"2023-03-30 19:41:49",10,179.99,"2023-04-17 15:20:00","2023-04-17 18:25:00",3,TuiFly,AGP,Malaga
